,0
24_25DHVITD3tm,
25HVITD3t,
COAtl,
EX_5adtststerone_e,
EX_5adtststerones_e,
EX_5fthf_e,
EX_5htrp_e,
EX_5mthf_e,
EX_5thf_e,
EX_6dhf_e,
24_25VITD3Hm,
24NPHte,
10FTHF7GLUtl,
10FTHFtm,
11DOCRTSLtr,
13DAMPPOX,0.0
24_25DHVITD2t,
24_25DHVITD2tm,
24_25DHVITD3t,
25VITD2Hm,
2AMACHYD,
2AMACSULT,
2AMADPTm,
2MCITt,
2OXOADOXm,10.39725944
2OXOADPTm,
34DHPHEt,
34DHXMANDACOX,0.0
34HPLFM,
3AIBtm,10.80847916
3HAO,0.0
3MOBt2im,
3MOPt2im,
3MOXTYROX,11.92817258
3SALAOX,
42A12BOOX,11.92817258
4HBZCOAFm,
4HBZFm,
4HDEBRISOQUINEte,
4HOXPACDOX_NADP,0.0
4MOPt2im,
4MPTNLte,
4NPHSULT,9.65486042
4PYRDX,
5ADTSTSTERONEGLCtr,
5ADTSTSTERONESULT,
5ADTSTSTERONEte,
5FTHFt2_1,10.02878761
5HOXINOXDA,11.92817258
5THFtl,
5THFtm,
7DHCHSTEROLtr,
7DHFtm,
A4GALTc,0.0
A4GALTg,0.0
A4GNT2g,
AACTtm,
ABO1g,
ABO4g,
ABO5g,
ABO6g,
ABO7g,
ABO9g,
ABTArm,10.80847916
ABTt,
ABUTt2rL,10.158153
ACACT10m,13.24696209
ACACT5p,11.39618523
ACACT8p,11.39618523
ACACT9p,11.39618523
ACALDtr,
ACALDtx,
ACCOALm,
ACCOAtr,10.02170287
ACETONEt2,10.93117232
ACGAGBSIDEtl,
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,
ACGALtlg,
ACGAMK,10.92455228
ACGAMPM,10.10111952
ACGAMtly,
ACGBGBSIDEtl,
ACHtn,
ACHVESSEC_1,
ACN13ACNGALGBSIDEtg,
ACNACNGAL14ACGLCGALGLUSIDEtg,
ACNACNGALGBSIDEtg,
ACNAMlt,9.886907869
ACNAMtn,
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,
ACNML,
ACOAD10m,11.18940977
ACOAD8m,11.81357631
ACOAD9m,11.18940977
ACOAO7p,11.72369307
ACODA,
ACONTm,12.61731809
ACP1_FMN,11.22999894
ACS2,10.2093452
ACSRTNMT,
ACt2r,
ADEt,0.0
ADK3,
ADK3m,
ADKd,
ADMDC,11.96619096
ADNt4,
ADNtl,0.0
ADNtm,11.4171518
ADPMAN,
ADPRIBt,0.0
ADRNCOAtx,
ADRNCRNt,9.919275019
ADSL2r,10.34912545
AG13T16g,9.617553536
AG13T18g,9.617553536
AG13T2g,9.617553536
AGMTm,0.0
AGTim,
AHANDROSTANGLCte,10.81957497
AHEXASE2ly,11.25117013
AIRCr,10.99473533
AKGMALtm,11.81434957
AKGt4_3,0.0
AKR1C41,
AKR1D,
ALAGLYexR,12.37007518
ALASERNaEx,10.60231059
ALASm,11.55141439
ALATHRNaEx,10.60231059
ALCD21_D,11.75056003
ALCD22_D,11.75056003
ALCD2y,11.12432439
ALDD20xm,13.8266923
ALDD2xm,13.8266923
ALDD2y,11.6549622
ALDSTRNte,
ALDSTRNtm,
ALOX15,0.0
ALR2,11.69599167
ALR3,11.69599167
AMACR2p,
AMACRp,
AMETr,
AMETt2m,
AMPDA,11.18637434
AMY2e,12.37007518
ANDRSTRNGLCte,10.81957497
ANDRSTRNGLCtr,
ANDRSTRNtr,
ANTIPYRENEte,
APOCFm,
APOC_LYS_BTNP,
APRTO2,11.92817258
ARAB_Lt,
ARABR,11.69599167
ARACHDCOAtx,
ARACHDt2,0.0
ARACHt,
ARGDCm,
ARGLYSex,9.959781668
ARGSS,11.94859946
ARGt4,
ARTCOAL3_cho,
R_group_phosphotase_2,
R_group_phosphotase_3,
ASCBOX_1,
ASCBt,
ASNCYSNaEx,10.04554607
ASNGLNNaEx,10.04554607
ASNNm,0.0
ASNS1,10.31800668
ASNt4,13.04673093
ASPDxt,
ASPGLUm,11.00986768
ASPNATm,
ASPt6,10.6737426
ASPTAm,12.19612684
ATP1ter,
BILGLCURte,10.81957497
BILIRED,10.95930433
EX_6htststerone_e,
ATPasel_1,12.17933971
ATPtn,
ATPtx,
AVITE2t,
B3GALT3g,0.0
B3GALT42g,0.0
B3GALTg,
B3GNT11g,9.617553536
B3GNT310g,
B3GNT315g,
B3GNT31g,
B3GNT34g,
B3GNT37g,
B3GNT39g,
B3GNT51g,
BAAT1x,
BAAT3x,
BACCL,9.539744828
BALAVECSEC_1,
BDHm,10.06944664
BETALDHxm,
BHBtm,
BHMT,
BILDGLCURt,
BTNDm,0.0
BTNPL,9.539744828
BTNt2m,10.76399968
BTNt3i_1,10.32059027
BVITEt,
BZtr,
C160CPT1,11.45543701
C160CPT2,11.45543701
C160CRNt,9.919275019
C161CPT1,11.45543701
C161CPT12,11.45543701
C161CPT2,0.0
C161CRN2t,9.919275019
C161CRNt,9.919275019
C180CPT1,11.45543701
C181CPT1,11.45543701
C181CRNt,9.919275019
C204CPT1,11.45543701
C204CPT2,0.0
C226COAtx,
C226CPT1,11.45543701
C226CPT2,0.0
C226CRNt,
C3STDH1r,0.0
C4STMO1r,10.39962157
C4STMO2Pr,0.0
CAATPS_1,12.34979974
CAROtr,
CAt7r,9.442512193
CATm,11.84507453
CATp,11.84507453
CBL2tm,
CBPPer,10.71142049
CBR2,10.6025903
CDIPTr,12.12674762
CDPDAGtm,
CDS,12.30413302
CERT1gt,
CERT1rt,
CERT2rt,
CH25H,
CHATn,
CHLP,
CHOLD2m,
